House,HouseType,Facing,Region,RUs,EVs,HVAC
1,bungalow,South,YVR,1,0,FAGF + FPG + HP
2,duplex,North,YVR,0,0,IFRHG + FPG - NAC
3,modern,South,YVR,2,0,IFRHG + 1 BHE - NAC
4,character,West,YVR,1,0,FAGF + IFRHG - NAC
5,modern,South,YVR,1,0,IFRHG - NAC
6,apartment,SW,YVR,0,0,BHE - NAC
8,character,South,YVR,0,0,FAGF - PAC
9,special,South,YVR,0,0,IFRHG + FPG - NAC
10,special,South,YVR,0,0,FAGF - NAC
11,duplex,North,YVR,0,0,FAGF + IFRHE + 1 BHE - NAC
12,apartment,NW,YVR,0,0,IFRHG - NAC
13,special,North,YVR,1,0,FAGF - NAC
14,modern,South,YVR,1,0,IFRHG - NAC
15,bungalow,ENE,WYJ,1,0,FAGF - NAC
16,apartment,NE,YVR,0,0,BHE - NAC
17,apartment,SW,YVR,0,0,BHE - NAC
18,bungalow,East,YVR,0,85,FAGF - PAC
19,special,West,YVR,0,0,FAGF - NAC
20,character,North,YVR,0,0,WRHIR - NAC
21,laneway,West,YVR,0,0,IFRHG - NAC
22,apartment,South,YVR,0,0,BHE - NAC
23,apartment,SE,YVR,0,0,BHE - NAC - FPG
24,modern,South,YVR,0,0,FAGF - FAC
25,character,South,YVR,0,0,IFRHG - NAC
26,apartment,NNW,YVR,0,0,GEOTH - NAC
27,apartment,NW,YVR,0,0,BHE - NAC
28,special,North,YVR,0,0,FAGF + 1 FPE + 2 FPG - NAC